player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Pavel Mintyukov #34,D,0.24,0.225,0.01,0.005,40,55,3.18,3.06,1038,T4
Zach Werenski #8,D,0.242,0.179,0.024,0.039,46,98,3.45,2.57,1702,T1
Niko Mikkola #77,D,0.242,0.169,0.023,0.051,42,85,2.99,2.14,1707,T1
Wyatt Kaiser #44,D,0.243,0.186,0.027,0.03,28,40,2.6,2.7,924,T4
Vincent Desharnais #73,D,0.243,0.18,0.031,0.032,26,36,3.0,2.2,720,T4
Uvis Balinskis #26,D,0.245,0.225,0.02,0.0,31,41,2.33,2.1,1056,T4
Cale Makar #8,D,0.245,0.213,0.011,0.022,44,94,3.55,2.39,1590,T1
Trevor van Riemsdyk #57,D,0.246,0.224,0.018,0.004,34,56,2.34,2.34,1437,T2
Lane Hutson #48,D,0.251,0.196,0.037,0.018,46,79,2.94,2.78,1610,T1
Josh Morrissey #44,D,0.252,0.168,0.034,0.05,36,73,2.49,2.38,1758,T1
Ryan McDonagh #27,D,0.252,0.208,0.012,0.032,36,75,3.11,2.28,1445,T2
Jake Middleton #5,D,0.253,0.181,0.037,0.035,30,67,2.89,2.52,1391,T2
Martin Fehérváry #42,D,0.253,0.217,0.014,0.021,40,83,3.99,2.53,1247,T3
Ivan Provorov #9,D,0.254,0.164,0.036,0.054,49,94,3.67,2.69,1535,T1
John Carlson #74,D,0.255,0.222,0.021,0.012,45,91,3.75,2.69,1456,T2
Rasmus Sandin #38,D,0.256,0.185,0.026,0.044,48,71,2.68,2.56,1588,T1
Brock Faber #14,D,0.256,0.183,0.021,0.052,33,92,3.28,2.52,1684,T1
K'Andre Miller #79,D,0.256,0.211,0.034,0.01,51,83,3.72,2.82,1339,T3
Evan Bouchard #2,D,0.256,0.205,0.032,0.019,45,92,2.83,2.37,1947,T1
Joshua Mahura #28,D,0.257,0.152,0.002,0.102,25,33,2.39,2.44,829,T4
Albert Johansson #20,D,0.257,0.247,0.01,0.0,30,43,2.72,2.56,949,T4
Cam York #8,D,0.258,0.217,0.005,0.037,49,70,3.54,2.22,1187,T3
Sam Malinski #70,D,0.26,0.215,0.045,0.0,27,43,2.13,2.25,1211,T3
Nick Jensen #3,D,0.263,0.229,0.031,0.002,36,66,2.97,2.51,1333,T3
Oliver Ekman-Larsson #95,D,0.263,0.174,0.029,0.06,39,74,2.82,2.54,1576,T1
Jacob Bryson #78,D,0.263,0.226,0.008,0.028,30,42,3.99,2.87,631,T4
Olen Zellweger #51,D,0.264,0.238,0.01,0.015,29,40,2.48,2.9,968,T4
Colton Parayko #55,D,0.264,0.203,0.032,0.029,47,88,3.77,2.29,1401,T2
Alexander Romanov #28,D,0.267,0.205,0.023,0.04,43,72,3.47,2.78,1243,T3
Nate Schmidt #88,D,0.274,0.204,0.022,0.049,26,52,2.14,1.89,1458,T2
Jake McCabe #22,D,0.275,0.189,0.057,0.028,30,78,3.34,2.35,1400,T2
Dante Fabbro #57,D,0.275,0.155,0.034,0.085,40,67,3.16,2.51,1273,T3
Cam Fowler #17,D,0.28,0.207,0.05,0.023,37,74,3.36,2.45,1323,T3
Jalen Chatfield #5,D,0.289,0.212,0.019,0.058,38,65,2.64,2.42,1478,T2
Justin Holl #3,D,0.313,0.25,0.048,0.016,33,55,3.35,2.37,985,T4
