player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Jake Neighbours #63,F,0.039,0.031,0.008,0.0,34,56,2.89,2.63,1164,T2
Erik Haula #56,F,0.04,0.032,0.009,0.0,32,48,3.16,2.52,912,T4
Martin Necas #88,F,0.04,0.029,0.011,0.0,34,61,2.99,2.57,1223,T1
Logan O'Connor #25,F,0.04,0.017,0.023,0.0,26,55,3.23,1.83,1022,T3
Jonathan Huberdeau #10,F,0.041,0.038,0.003,0.0,38,72,3.76,2.56,1147,T2
Michael McCarron #47,F,0.041,0.032,0.008,0.0,36,62,4.52,2.52,822,T4
Brayden Point #21,F,0.041,0.032,0.008,0.0,32,62,3.04,2.76,1225,T1
Philipp Kurashev #23,F,0.041,0.024,0.012,0.006,25,40,3.89,2.73,617,T4
J.T. Miller #10,F,0.041,0.035,0.005,0.001,38,74,4.71,2.58,943,T4
Kyle MacLean #32,F,0.041,0.035,0.002,0.004,31,44,3.41,2.37,775,T4
Jaden Schwartz #17,F,0.041,0.027,0.015,0.0,50,68,3.51,2.73,1163,T2
Jack Drury #18,F,0.041,0.029,0.012,0.0,26,41,2.95,2.23,834,T4
Morgan Geekie #39,F,0.041,0.032,0.01,0.0,36,53,2.84,2.44,1118,T2
Vladimir Tarasenko #11,F,0.042,0.039,0.001,0.002,33,49,2.92,2.57,1008,T3
Zach Hyman #18,F,0.042,0.033,0.001,0.007,37,65,3.0,2.31,1300,T1
Noah Cates #27,F,0.042,0.022,0.02,0.0,31,53,3.23,2.33,983,T3
Anthony Beauvillier #72,F,0.042,0.024,0.015,0.003,26,48,2.58,2.4,1116,T2
Wyatt Johnston #53,F,0.042,0.02,0.016,0.007,42,86,3.85,2.65,1341,T1
Filip Forsberg #9,F,0.043,0.017,0.014,0.012,47,85,4.41,2.78,1156,T2
Brayden Schenn #10,F,0.043,0.034,0.009,0.0,41,75,3.62,2.51,1243,T1
Jack Eichel #9,F,0.044,0.024,0.003,0.017,33,81,3.67,2.59,1325,T1
Ryan Suter #22,F,0.044,0.024,0.014,0.006,47,84,3.44,2.44,1464,T1
