Season,TradeID,Date,Trade,Acquiring Team,Asset Type,Asset,Position,Notes
2017-18,2018-02-24-NYI-EDM,2018-02-24,NYI / EDM,NYI,Player,Brandon Davidson,LD,
2017-18,2018-02-24-NYI-EDM,2018-02-24,NYI / EDM,EDM,Draft Pick,2019 3rd Round,,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,PIT,Player,Vincent Dunn,C,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,PIT,Player,Derick Brassard,C,40% retained
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,PIT,Draft Pick,2018 3rd Round,,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,PIT,Player,Tobias Lindberg,RW,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,OTT,Draft Pick,2018 1st Round,,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,OTT,Draft Pick,2019 3rd Round,,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,OTT,Player,Filip Gustavsson,G,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,OTT,Player,Ian Cole,LD,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,VGK,Player,Ryan Reaves,RW,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,VGK,Draft Pick,2018 4th Round,,
2017-18,2018-02-23-PIT-OTT-VGK,2018-02-23,PIT / OTT / VGK,VGK,Player,Derick Brassard,C,
2017-18,2018-02-22-NYR-NJD,2018-02-22,NYR / NJD,NYR,Draft Pick,2018 2nd Round,,
2017-18,2018-02-22-NYR-NJD,2018-02-22,NYR / NJD,NYR,Player,Yegor Rykov,LD,
2017-18,2018-02-22-NYR-NJD,2018-02-22,NYR / NJD,NJD,Player,Michael Grabner,LW,
2017-18,2018-02-22-BOS-FLA,2018-02-22,BOS / FLA,BOS,Draft Pick,2018 3rd Round,,
2017-18,2018-02-22-BOS-FLA,2018-02-22,BOS / FLA,FLA,Player,Frank Vatrano,LW,
2017-18,2018-02-21-MTL-WSH,2018-02-21,MTL / WSH,MTL,Draft Pick,2019 5th Round,,
2017-18,2018-02-21-MTL-WSH,2018-02-21,MTL / WSH,WSH,Player,Jakub Jerabek,LD,
2017-18,2018-02-21-LAK-UTA,2018-02-21,LAK / UTA,LAK,Player,Scott Wedgewood,G,
2017-18,2018-02-21-LAK-UTA,2018-02-21,LAK / UTA,LAK,Player,Tobias Rieder,LW,15% retained
2017-18,2018-02-21-LAK-UTA,2018-02-21,LAK / UTA,UTA,Player,Darcy Kuemper,G,
2017-18,2018-02-20-TOR-SJS,2018-02-20,TOR / SJS,TOR,Draft Pick,2020 7th Round,,
2017-18,2018-02-20-TOR-SJS,2018-02-20,TOR / SJS,SJS,Player,Eric Fehr,C,
2017-18,2018-02-20-BOS-NYR,2018-02-20,BOS / NYR,BOS,Player,Nick Holden,LD,
2017-18,2018-02-20-BOS-NYR,2018-02-20,BOS / NYR,NYR,Player,Rob O'Gara,,
2017-18,2018-02-20-BOS-NYR,2018-02-20,BOS / NYR,NYR,Draft Pick,2018 3rd Round,,
2017-18,2018-02-19-DET-PHI,2018-02-19,DET / PHI,DET,Draft Pick,2019 3rd Round,,conditional
2017-18,2018-02-19-DET-PHI,2018-02-19,DET / PHI,DET,Draft Pick,2018 3rd Round,,conditional
2017-18,2018-02-19-DET-PHI,2018-02-19,DET / PHI,PHI,Player,Petr Mrázek,G,50% retained
2017-18,2018-02-19-CHI-WSH,2018-02-19,CHI / WSH,CHI,Draft Pick,2018 3rd Round,,
2017-18,2018-02-19-CHI-WSH,2018-02-19,CHI / WSH,WSH,Player,Michal Kempny,LD,
2017-18,2018-02-16-TOR-STL,2018-02-16,TOR / STL,TOR,Draft Pick,2019 4th Round,,
2017-18,2018-02-16-TOR-STL,2018-02-16,TOR / STL,STL,Player,Nikita Soshnikov,RW,
2017-18,2018-02-16-CHI-OTT,2018-02-16,CHI / OTT,CHI,Player,Chris DiDomenico,C,
2017-18,2018-02-16-CHI-OTT,2018-02-16,CHI / OTT,OTT,Player,Ville Pokka,RD,
2017-18,2018-02-14-LAK-OTT,2018-02-14,LAK / OTT,LAK,Player,Nate Thompson,C,
2017-18,2018-02-14-LAK-OTT,2018-02-14,LAK / OTT,LAK,Player,Dion Phaneuf,LD,25% retained
2017-18,2018-02-14-LAK-OTT,2018-02-14,LAK / OTT,OTT,Player,Nicholas Shore,C,
2017-18,2018-02-14-LAK-OTT,2018-02-14,LAK / OTT,OTT,Player,Marian Gaborik,RW,
2017-18,2018-02-09-NYR-WSH,2018-02-09,NYR / WSH,NYR,Player,John Albert,C,
2017-18,2018-02-09-NYR-WSH,2018-02-09,NYR / WSH,WSH,Player,Adam Chapie,RW,
2017-18,2018-02-08-NJD-MIN,2018-02-08,NJD / MIN,NJD,Player,Mario Lucia,LW,
2017-18,2018-02-08-NJD-MIN,2018-02-08,NJD / MIN,NJD,Player,Christoph Bertschy,C,
2017-18,2018-02-08-NJD-MIN,2018-02-08,NJD / MIN,MIN,Player,Viktor Loov,LD,
2017-18,2018-02-05-LAK-VGK,2018-02-05,LAK / VGK,LAK,Other,Future Considerations,,
2017-18,2018-02-05-LAK-VGK,2018-02-05,LAK / VGK,VGK,Player,Zachary Leslie,LD,
2017-18,2018-02-03-DAL-NSH,2018-02-03,DAL / NSH,DAL,Player,Andrew O'Brien,LD,
2017-18,2018-02-03-DAL-NSH,2018-02-03,DAL / NSH,NSH,Player,Mark McNeill,C,
2017-18,2018-01-31-EDM-TBL,2018-01-31,EDM / TBL,EDM,Other,Future Considerations,,
2017-18,2018-01-31-EDM-TBL,2018-01-31,EDM / TBL,TBL,Player,Edward Pasquale,G,
2017-18,2018-01-22-LAK-CBJ,2018-01-22,LAK / CBJ,LAK,Other,Future Considerations,,
2017-18,2018-01-22-LAK-CBJ,2018-01-22,LAK / CBJ,CBJ,Player,Jeff Zatkoff,G,50% retained
2017-18,2018-01-22-CBJ-UTA,2018-01-22,CBJ / UTA,CBJ,Other,Future Considerations,,
2017-18,2018-01-22-CBJ-UTA,2018-01-22,CBJ / UTA,UTA,Player,John Ramage,RD,
2017-18,2018-01-10-CHI-UTA,2018-01-10,CHI / UTA,CHI,Player,Adam Clendening,RD,
2017-18,2018-01-10-CHI-UTA,2018-01-10,CHI / UTA,CHI,Player,Anthony Duclair,LW,
2017-18,2018-01-10-CHI-UTA,2018-01-10,CHI / UTA,UTA,Player,Richard Panik,RW,
2017-18,2018-01-10-CHI-UTA,2018-01-10,CHI / UTA,UTA,Player,Laurent Dauphin,C,
2017-18,2018-01-04-MTL-EDM,2018-01-04,MTL / EDM,MTL,Draft Pick,2018 4th Round,,conditional
2017-18,2018-01-04-MTL-EDM,2018-01-04,MTL / EDM,EDM,Player,Al Montoya,G,
2017-18,2017-12-30-CGY-NJD,2017-12-30,CGY / NJD,CGY,Player,Dalton Prout,RD,
2017-18,2017-12-30-CGY-NJD,2017-12-30,CGY / NJD,NJD,Player,Eddie Lack,G,
2017-18,2017-12-19-PIT-UTA,2017-12-19,PIT / UTA,PIT,Player,Michael Leighton,G,
2017-18,2017-12-19-PIT-UTA,2017-12-19,PIT / UTA,PIT,Draft Pick,2019 4th Round,,
2017-18,2017-12-19-PIT-UTA,2017-12-19,PIT / UTA,UTA,Player,Sean Maguire,G,
2017-18,2017-12-19-PIT-UTA,2017-12-19,PIT / UTA,UTA,Player,Josh Archibald,RW,
2017-18,2017-12-19-PIT-UTA,2017-12-19,PIT / UTA,UTA,Draft Pick,2019 6th Round,,
2017-18,2017-12-19-EDM-FLA,2017-12-19,EDM / FLA,EDM,Other,Future Considerations,,
2017-18,2017-12-19-EDM-FLA,2017-12-19,EDM / FLA,FLA,Player,Gregory Chase,C,
2017-18,2017-12-19-DAL-PIT,2017-12-19,DAL / PIT,DAL,Draft Pick,2019 4th Round,,
2017-18,2017-12-19-DAL-PIT,2017-12-19,DAL / PIT,PIT,Player,Jamie Oleksiak,RD,
2017-18,2017-12-14-NJD-UTA,2017-12-14,NJD / UTA,NJD,Player,Michael Latta,C,
2017-18,2017-12-14-NJD-UTA,2017-12-14,NJD / UTA,UTA,Player,Ryan Kujawinski,C,
2017-18,2017-12-08-LAK-VAN,2017-12-08,LAK / VAN,LAK,Player,Jordan Subban,RD,
2017-18,2017-12-08-LAK-VAN,2017-12-08,LAK / VAN,VAN,Player,Nic Dowd,C,
2017-18,2017-12-04-DET-BUF,2017-12-04,DET / BUF,DET,Draft Pick,2019 5th Round,,
2017-18,2017-12-04-DET-BUF,2017-12-04,DET / BUF,BUF,Player,Scott Wilson,C,
2017-18,2017-11-30-NJD-ANA,2017-11-30,NJD / ANA,NJD,Draft Pick,2019 3rd Round,,conditional
2017-18,2017-11-30-NJD-ANA,2017-11-30,NJD / ANA,NJD,Player,Sami Vatanen,RD,
2017-18,2017-11-30-NJD-ANA,2017-11-30,NJD / ANA,ANA,Player,Adam Henrique,C,
2017-18,2017-11-30-NJD-ANA,2017-11-30,NJD / ANA,ANA,Draft Pick,2018 3rd Round,,
2017-18,2017-11-30-NJD-ANA,2017-11-30,NJD / ANA,ANA,Player,Joseph Blandisi,C,
2017-18,2017-11-30-MTL-NYR,2017-11-30,MTL / NYR,MTL,Player,Adam Cracknell,RW,
2017-18,2017-11-30-MTL-NYR,2017-11-30,MTL / NYR,NYR,Player,Peter Holland,C,
2017-18,2017-11-23-MTL-LAK,2017-11-23,MTL / LAK,MTL,Draft Pick,2018 4th Round,,conditional
2017-18,2017-11-23-MTL-LAK,2017-11-23,MTL / LAK,LAK,Player,Torrey Mitchell,C,
2017-18,2017-11-14-TBL-UTA,2017-11-14,TBL / UTA,TBL,Player,Louis Domingue,G,
2017-18,2017-11-14-TBL-UTA,2017-11-14,TBL / UTA,UTA,Player,Tye McGinn,LW,
2017-18,2017-11-14-TBL-UTA,2017-11-14,TBL / UTA,UTA,Player,Michael Leighton,G,
2017-18,2017-11-14-LAK-EDM,2017-11-14,LAK / EDM,LAK,Player,Jussi Jokinen,LW,
2017-18,2017-11-14-LAK-EDM,2017-11-14,LAK / EDM,EDM,Player,Mike Cammalleri,LW,
2017-18,2017-11-10-DAL-FLA,2017-11-10,DAL / FLA,DAL,Player,Reece Scarlett,RD,
2017-18,2017-11-10-DAL-FLA,2017-11-10,DAL / FLA,FLA,Player,Ludwig Bystrom,LD,
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,COL,Player,Samuel Girard,LD,
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,COL,Player,Vladislav Kamenev,C,
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,COL,Draft Pick,2018 2nd Round,,
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,COL,Player,Shane Bowers,C,
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,COL,Draft Pick,2019 1st Round,,conditional
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,COL,Draft Pick,2019 3rd Round,,
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,COL,Player,Andrew Hammond,G,
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,OTT,Player,Matt Duchene,C,
2017-18,2017-11-05-COL-OTT-NSH,2017-11-05,COL / OTT / NSH,NSH,Player,Kyle Turris,C,
2017-18,2017-10-28-NJD-UTA,2017-10-28,NJD / UTA,NJD,Draft Pick,2018 5th Round,,
2017-18,2017-10-28-NJD-UTA,2017-10-28,NJD / UTA,UTA,Player,Scott Wedgewood,G,
2017-18,2017-10-21-NYR-DET,2017-10-21,NYR / DET,NYR,Player,Ryan Sproul,RD,
2017-18,2017-10-21-NYR-DET,2017-10-21,NYR / DET,DET,Player,Matt Puempel,LW,
2017-18,2017-10-21-DET-PIT,2017-10-21,DET / PIT,DET,Draft Pick,2018 3rd Round,,
2017-18,2017-10-21-DET-PIT,2017-10-21,DET / PIT,DET,Player,Scott Wilson,C,
2017-18,2017-10-21-DET-PIT,2017-10-21,DET / PIT,PIT,Player,Riley Sheahan,C,
2017-18,2017-10-21-DET-PIT,2017-10-21,DET / PIT,PIT,Draft Pick,2018 5th Round,,
2017-18,2017-10-09-PHI-ANA,2017-10-09,PHI / ANA,PHI,Player,Dustin Tokarski,G,
2017-18,2017-10-09-PHI-ANA,2017-10-09,PHI / ANA,ANA,Other,Future Considerations,,
2017-18,2017-10-06-TOR-VGK,2017-10-06,TOR / VGK,TOR,Player,Calvin Pickard,G,
2017-18,2017-10-06-TOR-VGK,2017-10-06,TOR / VGK,VGK,Draft Pick,2018 6th Round,,
2017-18,2017-10-06-TOR-VGK,2017-10-06,TOR / VGK,VGK,Player,Tobias Lindberg,RW,
2017-18,2017-10-04-MTL-CHI,2017-10-04,MTL / CHI,MTL,Player,Kyle Baun,RW,
2017-18,2017-10-04-MTL-CHI,2017-10-04,MTL / CHI,CHI,Player,Andreas Martinsen,LW,
2017-18,2017-10-04-MTL-BUF,2017-10-04,MTL / BUF,MTL,Player,Nicolas Deslauriers,LW,
2017-18,2017-10-04-MTL-BUF,2017-10-04,MTL / BUF,BUF,Player,Zach Redmond,RD,
2017-18,2017-10-03-PIT-VAN,2017-10-03,PIT / VAN,PIT,Draft Pick,2018 4th Round,,
2017-18,2017-10-03-PIT-VAN,2017-10-03,PIT / VAN,PIT,Player,Andrey Pedan,LD,
2017-18,2017-10-03-PIT-VAN,2017-10-03,PIT / VAN,VAN,Player,Derrick Pouliot,LD,
2017-18,2017-09-17-FLA-UTA,2017-09-17,FLA / UTA,FLA,Player,Jamie McGinn,LW,
2017-18,2017-09-17-FLA-UTA,2017-09-17,FLA / UTA,UTA,Player,Jason Demers,RD,12.5% retained
2017-18,2017-07-04-CAR-VGK,2017-07-04,CAR / VGK,CAR,Player,Marcus Kruger,C,
2017-18,2017-07-04-CAR-VGK,2017-07-04,CAR / VGK,VGK,Draft Pick,2018 5th Round,,
2017-18,2017-07-02-NJD-WSH,2017-07-02,NJD / WSH,NJD,Player,Marcus Johansson,LW,
2017-18,2017-07-02-NJD-WSH,2017-07-02,NJD / WSH,WSH,Draft Pick,2018 2nd Round,,
2017-18,2017-07-02-NJD-WSH,2017-07-02,NJD / WSH,WSH,Draft Pick,2018 3rd Round,,
2017-18,2017-07-02-CHI-VGK,2017-07-02,CHI / VGK,CHI,Other,Future Considerations,,
2017-18,2017-07-02-CHI-VGK,2017-07-02,CHI / VGK,VGK,Player,Marcus Kruger,C,
2017-18,2017-07-01-NYI-TBL,2017-07-01,NYI / TBL,NYI,Player,Kristers Gudlevskis,G,
2017-18,2017-07-01-NYI-TBL,2017-07-01,NYI / TBL,TBL,Player,Carter Verhaeghe,LW,
2017-18,2017-07-01-NSH-VGK,2017-07-01,NSH / VGK,NSH,Player,Alexei Emelin,LD,26.82926829268293% retained
2017-18,2017-07-01-NSH-VGK,2017-07-01,NSH / VGK,VGK,Draft Pick,2019 3rd Round,,
2017-18,2017-07-01-DET-CGY,2017-07-01,DET / CGY,DET,Player,Tom McCollum,G,
2017-18,2017-07-01-DET-CGY,2017-07-01,DET / CGY,CGY,Draft Pick,2018 7th Round,,conditional
2017-18,2017-07-01-COL-NSH,2017-07-01,COL / NSH,COL,Player,Colin Wilson,C,
2017-18,2017-07-01-COL-NSH,2017-07-01,COL / NSH,NSH,Draft Pick,2019 4th Round,,
2018-19,2019-06-30-MTL-CHI,2019-06-30,MTL / CHI,MTL,Draft Pick,2020 2nd Round,,
2018-19,2019-06-30-MTL-CHI,2019-06-30,MTL / CHI,MTL,Draft Pick,2020 7th Round,,
2018-19,2019-06-30-MTL-CHI,2019-06-30,MTL / CHI,MTL,Draft Pick,2021 3rd Round,,
2018-19,2019-06-30-MTL-CHI,2019-06-30,MTL / CHI,CHI,Player,Andrew Shaw,RW,
2018-19,2019-06-30-MTL-CHI,2019-06-30,MTL / CHI,CHI,Draft Pick,2021 7th Round,,
2018-19,2019-06-30-MTL-ANA,2019-06-30,MTL / ANA,MTL,Draft Pick,2020 4th Round,,
2018-19,2019-06-30-MTL-ANA,2019-06-30,MTL / ANA,ANA,Player,Nicolas Deslauriers,LW,
2018-19,2019-06-30-CAR-FLA,2019-06-30,CAR / FLA,CAR,Player,James Reimer,G,
2018-19,2019-06-30-CAR-FLA,2019-06-30,CAR / FLA,FLA,Draft Pick,2020 6th Round,,
2018-19,2019-06-30-CAR-FLA,2019-06-30,CAR / FLA,FLA,Player,Scott Darling,G,
2018-19,2019-06-29-PIT-UTA,2019-06-29,PIT / UTA,PIT,Player,Alex Galchenyuk,C,
2018-19,2019-06-29-PIT-UTA,2019-06-29,PIT / UTA,PIT,Player,Pierre-Olivier Joseph,LD,
2018-19,2019-06-29-PIT-UTA,2019-06-29,PIT / UTA,UTA,Player,Dane Birks,RD,
2018-19,2019-06-29-PIT-UTA,2019-06-29,PIT / UTA,UTA,Player,Phil Kessel,RW,
2018-19,2019-06-29-PIT-UTA,2019-06-29,PIT / UTA,UTA,Draft Pick,2021 4th Round,,
2018-19,2019-06-29-COL-FLA,2019-06-29,COL / FLA,COL,Player,Jacob MacDonald,RD,
2018-19,2019-06-29-COL-FLA,2019-06-29,COL / FLA,FLA,Player,Dominic Toninato,C,
2018-19,2019-06-28-WSH-COL,2019-06-28,WSH / COL,WSH,Player,Scott Kosmachuk,RW,
2018-19,2019-06-28-WSH-COL,2019-06-28,WSH / COL,WSH,Draft Pick,2020 3rd Round,,
2018-19,2019-06-28-WSH-COL,2019-06-28,WSH / COL,WSH,Draft Pick,2020 2nd Round,,
2018-19,2019-06-28-WSH-COL,2019-06-28,WSH / COL,COL,Player,André Burakovsky,RW,
2018-19,2019-06-28-BUF-VGK,2019-06-28,BUF / VGK,BUF,Player,Colin Miller,RD,
2018-19,2019-06-28-BUF-VGK,2019-06-28,BUF / VGK,VGK,Draft Pick,2022 5th Round,,
2018-19,2019-06-28-BUF-VGK,2019-06-28,BUF / VGK,VGK,Draft Pick,2021 2nd Round,,
2018-19,2019-06-27-CAR-VGK,2019-06-27,CAR / VGK,CAR,Player,Erik Haula,C,
2018-19,2019-06-27-CAR-VGK,2019-06-27,CAR / VGK,VGK,Player,Nicolas Roy,C,
2018-19,2019-06-27-CAR-VGK,2019-06-27,CAR / VGK,VGK,Draft Pick,2021 5th Round,,conditional
2018-19,2019-06-25-COL-UTA,2019-06-25,COL / UTA,COL,Draft Pick,2020 3rd Round,,
2018-19,2019-06-25-COL-UTA,2019-06-25,COL / UTA,COL,Player,Kevin Connauton,LD,
2018-19,2019-06-25-COL-UTA,2019-06-25,COL / UTA,UTA,Player,Carl Soderberg,C,
2018-19,2019-06-24-DAL-PHI,2019-06-24,DAL / PHI,DAL,Player,Ryan Hartman,C,
2018-19,2019-06-24-DAL-PHI,2019-06-24,DAL / PHI,PHI,Player,Tyler Pitlick,RW,
2018-19,2019-06-24-CHI-CAR,2019-06-24,CHI / CAR,CHI,Player,Aleksi Saarela,C,
2018-19,2019-06-24-CHI-CAR,2019-06-24,CHI / CAR,CHI,Player,Calvin De Haan,LD,
2018-19,2019-06-24-CHI-CAR,2019-06-24,CHI / CAR,CAR,Player,Anton Forsberg,G,
2018-19,2019-06-24-CHI-CAR,2019-06-24,CHI / CAR,CAR,Player,Gustav Forsling,LD,
2018-19,2019-06-22-TOR-STL,2019-06-22,TOR / STL,TOR,Draft Pick,2020 7th Round,,
2018-19,2019-06-22-TOR-STL,2019-06-22,TOR / STL,STL,Draft Pick,2019 7th Round,,
2018-19,2019-06-22-SJS-VGK,2019-06-22,SJS / VGK,SJS,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-SJS-VGK,2019-06-22,SJS / VGK,SJS,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-SJS-VGK,2019-06-22,SJS / VGK,VGK,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-PIT-UTA,2019-06-22,PIT / UTA,PIT,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-PIT-UTA,2019-06-22,PIT / UTA,UTA,Draft Pick,2019 7th Round,,
2018-19,2019-06-22-PIT-UTA,2019-06-22,PIT / UTA,UTA,Draft Pick,2019 4th Round,,
2018-19,2019-06-22-PIT-UTA,2019-06-22,PIT / UTA,UTA,Draft Pick,2019 5th Round,,
2018-19,2019-06-22-PIT-SJS,2019-06-22,PIT / SJS,PIT,Draft Pick,2019 7th Round,,
2018-19,2019-06-22-PIT-SJS,2019-06-22,PIT / SJS,SJS,Draft Pick,2020 7th Round,,
2018-19,2019-06-22-NJD-SJS,2019-06-22,NJD / SJS,NJD,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-NJD-SJS,2019-06-22,NJD / SJS,NJD,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-NJD-SJS,2019-06-22,NJD / SJS,SJS,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-NJD-NSH-1,2019-06-22,NJD / NSH,NJD,Player,Adam Helewka,LW,
2018-19,2019-06-22-NJD-NSH-1,2019-06-22,NJD / NSH,NSH,Other,Future Considerations,,
2018-19,2019-06-22-NJD-NSH,2019-06-22,NJD / NSH,NJD,Player,P.K. Subban,,
2018-19,2019-06-22-NJD-NSH,2019-06-22,NJD / NSH,NSH,Player,Steven Santini,RD,
2018-19,2019-06-22-NJD-NSH,2019-06-22,NJD / NSH,NSH,Draft Pick,2020 2nd Round,,
2018-19,2019-06-22-NJD-NSH,2019-06-22,NJD / NSH,NSH,Player,Jeremy Davies,LD,
2018-19,2019-06-22-NJD-NSH,2019-06-22,NJD / NSH,NSH,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-CHI-NJD,2019-06-22,CHI / NJD,CHI,Player,John Quenneville,C,
2018-19,2019-06-22-CHI-NJD,2019-06-22,CHI / NJD,NJD,Player,John Hayden,C,
2018-19,2019-06-22-CAR-MIN,2019-06-22,CAR / MIN,CAR,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-CAR-MIN,2019-06-22,CAR / MIN,CAR,Draft Pick,2019 4th Round,,
2018-19,2019-06-22-CAR-MIN,2019-06-22,CAR / MIN,MIN,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-BUF-VAN,2019-06-22,BUF / VAN,BUF,Draft Pick,2019 4th Round,,
2018-19,2019-06-22-BUF-VAN,2019-06-22,BUF / VAN,VAN,Draft Pick,2019 6th Round,,
2018-19,2019-06-22-BUF-VAN,2019-06-22,BUF / VAN,VAN,Draft Pick,2019 4th Round,,
2018-19,2019-06-22-WSH-SJS,2019-06-22,WSH / SJS,WSH,Draft Pick,2019 5th Round,,
2018-19,2019-06-22-WSH-SJS,2019-06-22,WSH / SJS,SJS,Draft Pick,2020 7th Round,,
2018-19,2019-06-22-WSH-SJS,2019-06-22,WSH / SJS,SJS,Draft Pick,2019 7th Round,,
2018-19,2019-06-22-VAN-TBL,2019-06-22,VAN / TBL,VAN,Player,J.T. Miller,C,
2018-19,2019-06-22-VAN-TBL,2019-06-22,VAN / TBL,TBL,Draft Pick,2020 1st Round,,conditional
2018-19,2019-06-22-VAN-TBL,2019-06-22,VAN / TBL,TBL,Player,Marek Mazanec,G,
2018-19,2019-06-22-VAN-TBL,2019-06-22,VAN / TBL,TBL,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-VAN-SJS,2019-06-22,VAN / SJS,VAN,Draft Pick,2019 7th Round,,
2018-19,2019-06-22-VAN-SJS,2019-06-22,VAN / SJS,VAN,Player,Francis Perron,LW,
2018-19,2019-06-22-VAN-SJS,2019-06-22,VAN / SJS,SJS,Player,Tom Pyatt,LW,
2018-19,2019-06-22-VAN-SJS,2019-06-22,VAN / SJS,SJS,Draft Pick,2019 6th Round,,
2018-19,2019-06-22-TOR-CAR,2019-06-22,TOR / CAR,TOR,Draft Pick,2020 6th Round,,
2018-19,2019-06-22-TOR-CAR,2019-06-22,TOR / CAR,CAR,Draft Pick,2020 1st Round,,conditional
2018-19,2019-06-22-TOR-CAR,2019-06-22,TOR / CAR,CAR,Player,Patrick Marleau,C,
2018-19,2019-06-22-TOR-CAR,2019-06-22,TOR / CAR,CAR,Draft Pick,2020 7th Round,,
2018-19,2019-06-22-PHI-NSH,2019-06-22,PHI / NSH,PHI,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-PHI-NSH,2019-06-22,PHI / NSH,NSH,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-PHI-NSH,2019-06-22,PHI / NSH,NSH,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-NSH-MIN,2019-06-22,NSH / MIN,NSH,Draft Pick,2020 3rd Round,,
2018-19,2019-06-22-NSH-MIN,2019-06-22,NSH / MIN,MIN,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-NJD-WSH,2019-06-22,NJD / WSH,NJD,Draft Pick,2019 5th Round,,
2018-19,2019-06-22-NJD-WSH,2019-06-22,NJD / WSH,NJD,Draft Pick,2019 4th Round,,
2018-19,2019-06-22-NJD-WSH,2019-06-22,NJD / WSH,WSH,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-MTL-SJS,2019-06-22,MTL / SJS,MTL,Draft Pick,2020 4th Round,,
2018-19,2019-06-22-MTL-SJS,2019-06-22,MTL / SJS,SJS,Draft Pick,2019 4th Round,,
2018-19,2019-06-22-MTL-PHI,2019-06-22,MTL / PHI,MTL,Draft Pick,2019 7th Round,,
2018-19,2019-06-22-MTL-PHI,2019-06-22,MTL / PHI,PHI,Draft Pick,2020 7th Round,,
2018-19,2019-06-22-MTL-LAK,2019-06-22,MTL / LAK,MTL,Draft Pick,2019 5th Round,,
2018-19,2019-06-22-MTL-LAK,2019-06-22,MTL / LAK,MTL,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-MTL-LAK,2019-06-22,MTL / LAK,LAK,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-MTL-FLA,2019-06-22,MTL / FLA,MTL,Draft Pick,2020 5th Round,,
2018-19,2019-06-22-MTL-FLA,2019-06-22,MTL / FLA,FLA,Draft Pick,2019 5th Round,,
2018-19,2019-06-22-FLA-CBJ,2019-06-22,FLA / CBJ,FLA,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-FLA-CBJ,2019-06-22,FLA / CBJ,CBJ,Draft Pick,2019 4th Round,,
2018-19,2019-06-22-FLA-CBJ,2019-06-22,FLA / CBJ,CBJ,Draft Pick,2019 4th Round,,
2018-19,2019-06-22-DET-BUF,2019-06-22,DET / BUF,DET,Draft Pick,2019 7th Round,,
2018-19,2019-06-22-DET-BUF,2019-06-22,DET / BUF,DET,Draft Pick,2019 6th Round,,
2018-19,2019-06-22-DET-BUF,2019-06-22,DET / BUF,BUF,Draft Pick,2019 5th Round,,
2018-19,2019-06-22-CAR-OTT,2019-06-22,CAR / OTT,CAR,Draft Pick,2019 3rd Round,,
2018-19,2019-06-22-CAR-OTT,2019-06-22,CAR / OTT,CAR,Draft Pick,2019 2nd Round,,
2018-19,2019-06-22-CAR-OTT,2019-06-22,CAR / OTT,OTT,Draft Pick,2019 2nd Round,,
2018-19,2019-06-21-PHI-UTA,2019-06-21,PHI / UTA,PHI,Draft Pick,2019 1st Round,,
2018-19,2019-06-21-PHI-UTA,2019-06-21,PHI / UTA,PHI,Draft Pick,2019 2nd Round,,
2018-19,2019-06-21-PHI-UTA,2019-06-21,PHI / UTA,UTA,Draft Pick,2019 1st Round,,
