PLAYERS,POS,HAND,BIRTHPLACE,AGE,PROJ. CAP,PROJ. TERM,GP,TOI,P,P/G,CAP,QO
"Buteyets, Vyacheslav",G,Left,RUS,24,"$850,000",1 yrs,1,20:00,0,-,"$852,500","$813,750"
"Villeneuve, William","RD, LD",Right,"Quebec, Sherbrooke",24,"$850,000",1 yrs,3,17:20,0,-,"$775,000","$813,750"
"Skoog, Wilmer","LW, C",Left,Stockholm,26,"$850,000",1 yrs,3,15:01,2,0.67,"$775,000","$813,750"
"Bourgault, Xavier","LW, RW",Right,"Quebec, L'Islet",23,"$850,000",1 yrs,2,5:58,0,-,"$775,000","$813,750"
"Parent, Xavier","LW, RW, C",Left,"Quebec, Laval",25,"$850,000",1 yrs,5,8:34,0,-,"$775,000","$813,750"
"Bardakov, Zakhar","C, LW",Left,Berdsk,25,"$850,000",1 yrs,60,7:12,10,0.17,"$867,500","$813,750"
"Heimosalmi, Aleksi",RD,Right,Pori,23,-,-,0,0:00,0,-,"$805,833","$813,750"
"Jefferies, Alex",LW,Right,"Massachusetts, Framingham",24,-,-,0,0:00,0,-,"$867,500","$813,750"
"Alexeyev, Alexander","LD, RD",Left,St. Petersburg,26,-,-,0,0:00,0,-,"$775,000","$813,750"
"Doucet, Alexandre",LW,Left,"Quebec, Sherbrooke",24,-,-,0,0:00,0,-,"$870,000","$813,750"
"Gendron, Alexis",RW,Left,"Quebec, Coteau du Lac",22,-,-,0,0:00,0,-,"$860,000","$813,750"
"Lombardi, Amadeus",C,Left,"Ontario, Newmarket",23,-,-,0,0:00,0,-,"$838,333","$813,750"
"Miftakhov, Amir",G,Left,Kazan,26,-,-,0,0:00,0,-,"$775,000","$813,750"
"Thornton, Anson",G,Right,"Ontario, Oshawa",22,-,-,0,0:00,0,-,"$795,556","$813,750"
"Stranges, Antonio",LW,Left,"Michigan, Plymouth",24,-,-,0,0:00,0,-,"$775,000","$813,750"
"Grushnikov, Artem",LD,Left,Voskresensk,23,-,-,0,0:00,0,-,"$814,167","$840,000"
"Guryev, Artem",LD,Left,Moscow,23,-,-,0,0:00,0,-,"$860,000","$813,750"
"Kraws, Ben",G,Left,"New Jersey, Cranbury",25,-,-,0,0:00,0,-,"$775,000","$813,750"
"Steeves, Ben",LW,Left,"New Hampshire, Bedford",24,-,-,0,0:00,0,-,"$950,000","$897,750"
"Marek, Bradley",LW,Left,"Michigan, Big Rapids",25,-,-,0,0:00,0,-,"$790,000","$813,750"
"Kressler, Braeden",C,Right,"Ontario, Kitchener",23,-,-,0,0:00,0,-,"$800,556","$813,750"
"Harrison, Brett",C,Left,"Ontario, London",23,-,-,0,0:00,0,-,"$836,667","$813,750"
"Bankier, Caedan",C,Left,"British Columbia, White Rock",23,-,-,0,0:00,0,-,"$867,500","$813,750"
"Addison, Calen","RD, LD",Right,"Manitoba, Brandon",26,-,-,0,0:00,0,-,"$775,000","$813,750"
"Clang, Calle",G,Left,Olofstrom,24,-,-,0,0:00,0,-,"$775,000","$813,750"
"Thiesing, Camden",C,Right,"Tennessee, Franklin",25,-,-,0,0:00,0,-,"$870,000","$813,750"
"Butler, Cameron",RW,Right,"Ontario, Ottawa",24,-,-,0,0:00,0,-,"$858,333","$813,750"
"Gylander, Carter",G,Left,"Alberta, Edmonton",25,-,-,0,0:00,0,-,"$855,000","$813,750"
"King, Carter",C,Left,"AB, Calgary",24,-,-,0,0:00,0,-,"$872,500","$813,750"
"Bradley, Chase",LW,Left,"Missouri, St. Louis",24,-,-,0,0:00,0,-,"$872,500","$813,750"
"Stillman, Chase",RW,Right,"Missouri, St. Louis",23,-,-,0,0:00,0,-,"$863,333","$874,125"
"Wheatcroft, Chase",C,Left,"Alberta, Calgary",24,-,-,0,0:00,0,-,"$862,500","$813,750"
"Kyrou, Christian",RD,Right,"Ontario, Toronto",22,-,-,0,0:00,0,-,"$878,333","$840,000"
"Sedoff, Christoffer",LD,Left,Helsinki,24,-,-,0,0:00,0,-,"$870,000","$813,750"
"Bancroft, Dalton",RW,Right,"Ontario, MADOC",25,-,-,0,0:00,0,-,"$950,000","$895,125"
