PLAYERS,TEAM,POS,AGE,CAP HIT,TOTAL,AAV,TERM,SIGN. STATUS,SIGN. AGE,EXPIRY,CONTRACT START,EXPIRY YEAR,WAIVERS EXEMPT,SIGNED BY,BASE SALARY,SIGNING BONUS,PERF BONUS,TYPE
"Eberle, Jordan",SEA,RW,36,"$5,500,000","$5,500,000","$5,500,000",2 yrs,UFA,35,UFA,2026,2028,No,Jason Botterill,"$5,500,000",$0,$0,Std (Ext)
"Anderson, Josh",MTL,"RW, LW",32,"$5,500,000","$3,500,000","$5,500,000",7 yrs,RFA (Arb),26,UFA,2020,2027,No,Marc Bergevin,"$3,500,000",$0,$0,Std (Ext)
"Pettersson, Marcus",VAN,LD,30,"$5,500,000","$7,000,000","$5,500,000",6 yrs,UFA,28,UFA,2025,2031,No,Patrik Allvin,"$4,500,000","$2,500,000",$0,Std (Ext)
"Geekie, Morgan",BOS,"LW, RW, C",27,"$5,500,000","$6,500,000","$5,500,000",6 yrs,RFA (Arb),26,UFA,2025,2031,No,Don Sweeney,"$4,000,000","$2,500,000",$0,Std (Ext)
"Hague, Nicolas",NSH,LD,27,"$5,500,000","$5,500,000","$5,500,000",4 yrs,RFA (Arb),26,UFA,2025,2029,No,Barry Trotz,"$5,500,000",$0,$0,Std (Ext)
"Danault, Phillip",MTL,C,33,"$5,500,000","$4,250,000","$5,500,000",6 yrs,UFA,28,UFA,2021,2027,No,Rob Blake,"$3,250,000","$1,000,000",$0,Std
"Monahan, Sean",CBJ,C,31,"$5,500,000","$4,700,000","$5,500,000",5 yrs,UFA,29,UFA,2024,2029,No,Don Waddell,"$3,200,000","$1,500,000",$0,Std
"Bertuzzi, Tyler",CHI,"LW, RW",31,"$5,500,000","$4,800,000","$5,500,000",4 yrs,UFA,29,UFA,2024,2028,No,Kyle Davidson,"$3,800,000","$1,000,000",$0,Std
"Hyman, Zach",EDM,"RW, LW",34,"$5,500,000","$5,175,000","$5,500,000",7 yrs,UFA,29,UFA,2021,2028,No,Ken Holland,"$2,175,000","$3,000,000",$0,Std
"Merzlikins, Elvis",CBJ,G,32,"$5,400,000","$4,225,000","$5,400,000",5 yrs,UFA,27,UFA,2022,2027,No,Jarmo Kekalainen,"$4,225,000",$0,$0,Std (Ext)
"Teravainen, Teuvo",CHI,"LW, RW, C",31,"$5,400,000","$4,500,000","$5,400,000",3 yrs,UFA,29,UFA,2024,2027,No,Kyle Davidson,"$3,200,000","$1,300,000",$0,Std
