PLAYERS,TEAM,POS,AGE,CAP HIT,TOTAL,AAV,TERM,SIGN. STATUS,SIGN. AGE,EXPIRY,CONTRACT START,EXPIRY YEAR,WAIVERS EXEMPT,SIGNED BY,BASE SALARY,SIGNING BONUS,PERF BONUS,TYPE
"Pospisil, Martin",CGY,"C, RW, LW",26,"$2,500,000","$2,500,000","$2,500,000",3 yrs,RFA (Arb),25,UFA,2026,2029,No,Craig Conroy,"$2,500,000",$0,$0,Std (Ext)
"Wood, Miles",CBJ,"RW, LW",30,"$2,500,000","$2,000,000","$2,500,000",6 yrs,UFA,27,UFA,2023,2029,No,Chris MacFarland,"$2,000,000",$0,$0,Std
"Wedgewood, Scott",COL,G,33,"$2,500,000","$2,500,000","$2,500,000",1 yrs,UFA,33,UFA,2026,2027,No,Chris MacFarland,"$1,900,000","$600,000",$0,Std (Ext)
"Hathaway, Garnet",PHI,RW,34,"$2,400,000","$2,100,000","$2,400,000",2 yrs,UFA,32,UFA,2025,2027,No,Daniel Brière,"$2,100,000",$0,$0,Std (Ext)
"Gourde, Yanni",TBL,C,34,"$2,333,333","$3,010,000","$2,333,333",6 yrs,UFA,33,UFA,2025,2031,No,Julien BriseBois,"$1,000,000","$2,010,000",$0,Std (Ext)
"Forsberg, Anton",LAK,G,33,"$2,250,000","$2,250,000","$2,250,000",2 yrs,UFA,32,UFA,2025,2027,No,Ken Holland,"$2,250,000",$0,$0,Std
"Lizotte, Blake",PIT,C,28,"$2,250,000","$2,250,000","$2,250,000",3 yrs,UFA,28,UFA,2026,2029,No,Kyle Dubas,"$2,250,000",$0,$0,Std (Ext)
"Dewar, Connor",PIT,"LW, C",26,"$2,250,000","$2,250,000","$2,250,000",2 yrs,UFA,26,UFA,2026,2028,No,Kyle Dubas,"$2,250,000",$0,$0,Std (Ext)
"Karlsson, Linus",VAN,"RW, C",26,"$2,250,000","$2,500,000","$2,250,000",2 yrs,UFA (Group 6),26,UFA,2026,2028,No,Patrik Allvin,"$2,500,000",$0,$0,Std (Ext)
"Tsyplakov, Maxim",NJD,"RW, LW",27,"$2,250,000","$2,250,000","$2,250,000",2 yrs,RFA (Arb),26,UFA,2025,2027,No,Mathieu Darche,"$2,250,000",$0,$0,Std (Ext)
"Timmins, Conor",BUF,"RD, LD",27,"$2,200,000","$2,200,000","$2,200,000",2 yrs,RFA (Arb),26,UFA,2025,2027,No,Kevyn Adams,"$2,200,000",$0,$0,Std (Ext)
"Wallstedt, Jesper",MIN,G,23,"$2,200,000","$2,000,000","$2,200,000",2 yrs,RFA,21,RFA (Arb),2025,2027,No,Bill Guerin,"$2,000,000",$0,$0,Std (Ext)
"Husso, Ville",ANA,G,31,"$2,200,000","$2,200,000","$2,200,000",2 yrs,UFA,30,UFA,2025,2027,No,Pat Verbeek,"$2,200,000",$0,$0,Std (Ext)
"Gaudreau, Frederick",SEA,"C, RW",33,"$2,100,000","$1,770,000","$2,100,000",5 yrs,UFA,29,UFA,2023,2028,No,Bill Guerin,"$1,770,000",$0,$0,Std (Ext)
"Steel, Sam",DAL,"LW, C",28,"$2,100,000","$1,900,000","$2,100,000",2 yrs,UFA,27,UFA,2025,2027,No,Jim Nill,"$1,900,000",$0,$0,Std (Ext)
"Evans, Ryker",SEA,"LD, RD",24,"$2,050,000","$2,000,000","$2,050,000",2 yrs,RFA,23,RFA (Arb),2025,2027,No,Jason Botterill,"$2,000,000",$0,$0,Std (Ext)
"Carrier, William",CAR,LW,31,"$2,050,000","$2,375,000","$2,050,000",6 yrs,UFA,29,UFA,2024,2030,No,Eric Tulsky,"$850,000","$1,525,000",$0,Std
"Gaudette, Adam",SJS,"RW, C, LW",29,"$2,000,000","$2,000,000","$2,000,000",2 yrs,UFA,28,UFA,2025,2027,No,Mike Grier,"$2,000,000",$0,$0,Std
"Hart, Carter",VGK,G,27,"$2,000,000","$1,775,000","$2,000,000",2 yrs,,27,UFA,2025,2027,No,Kelly McCrimmon,"$1,775,000",$0,$0,Std (Ext)
"Frank, Ethen",WSH,"RW, LW",28,"$2,000,000","$2,000,000","$2,000,000",2 yrs,UFA,28,UFA,2026,2028,No,Brian MacLellan,"$1,500,000","$500,000",$0,Std (Ext)
"Sturm, Nico",MIN,"C, LW",31,"$2,000,000","$2,000,000","$2,000,000",2 yrs,UFA,30,UFA,2025,2027,No,Bill Guerin,"$2,000,000",$0,$0,Std
"Kochetkov, Pyotr",CAR,G,26,"$2,000,000","$2,500,000","$2,000,000",4 yrs,RFA (Arb),23,UFA,2023,2027,No,Don Waddell,"$2,500,000",$0,$0,Std (Ext)
"Faksa, Radek",DAL,C,32,"$2,000,000","$2,000,000","$2,000,000",3 yrs,UFA,31,UFA,2025,2028,No,Jim Nill,"$2,000,000",$0,$0,Std
"Askarov, Yaroslav",SJS,G,24,"$2,000,000","$2,100,000","$2,000,000",2 yrs,RFA,22,RFA (Arb),2025,2027,No,Mike Grier,"$2,100,000",$0,$0,Std (Ext)
"Bussi, Brandon",CAR,G,27,"$1,900,000","$1,000,000","$1,900,000",3 yrs,UFA,27,UFA,2026,2029,No,Eric Tulsky,"$850,000","$150,000",$0,Std (Ext)
"Jankowski, Mark",CAR,"C, LW",31,"$1,850,000","$1,850,000","$1,850,000",2 yrs,UFA,31,UFA,2026,2028,No,Eric Tulsky,"$850,000","$1,000,000",$0,Std (Ext)
"Barron, Morgan",WPG,"C, LW",27,"$1,850,000","$2,000,000","$1,850,000",2 yrs,RFA (Arb),26,UFA,2025,2027,No,Kevin Cheveldayoff,"$2,000,000",$0,$0,Std (Ext)
"Kuraly, Sean",BOS,C,33,"$1,850,000","$1,700,000","$1,850,000",2 yrs,UFA,32,UFA,2025,2027,No,Don Sweeney,"$1,700,000",$0,$0,Std
"Allen, Jake",NJD,G,35,"$1,800,000","$2,250,000","$1,800,000",5 yrs,UFA,34,UFA,2025,2030,No,Tom Fitzgerald,"$1,000,000","$1,250,000",$0,Std (Ext)
"Danforth, Justin",BUF,"RW, LW, C",33,"$1,800,000","$1,800,000","$1,800,000",2 yrs,UFA,32,UFA,2025,2027,No,Kevyn Adams,"$1,800,000",$0,$0,Std
"Johnson, Kent",CBJ,"RW, LW, C",23,"$1,800,000","$2,000,000","$1,800,000",3 yrs,10.2(c),21,RFA (Arb),2024,2027,No,Don Waddell,"$2,000,000",$0,$0,Std
"Hanley, Joel",CGY,LD,35,"$1,750,000","$1,750,000","$1,750,000",2 yrs,UFA,34,UFA,2025,2027,No,Craig Conroy,"$1,750,000",$0,$0,Std (Ext)
"Carcone, Michael",UTA,"RW, LW",30,"$1,750,000","$1,750,000","$1,750,000",2 yrs,UFA,29,UFA,2026,2028,No,Bill Armstrong,"$1,750,000",$0,$0,Std (Ext)
"Bjugstad, Nick",NJD,"C, RW",33,"$1,750,000","$1,750,000","$1,750,000",2 yrs,UFA,32,UFA,2025,2027,No,Doug Armstrong,"$1,750,000",$0,$0,Std
"Lundkvist, Nils",DAL,RD,25,"$1,750,000","$1,750,000","$1,750,000",2 yrs,RFA (Arb),25,UFA,2026,2028,No,Jim Nill,"$1,750,000",$0,$0,Std (Ext)
"Robinson, Eric",CAR,"RW, LW",31,"$1,700,000","$1,700,000","$1,700,000",4 yrs,UFA,30,UFA,2025,2029,No,Eric Tulsky,"$1,700,000",$0,$0,Std (Ext)
"Kelly, Parker",COL,"LW, C",27,"$1,700,000","$2,000,000","$1,700,000",4 yrs,UFA,26,UFA,2026,2030,No,Chris MacFarland,"$2,000,000",$0,$0,Std (Ext)
"Kaiser, Wyatt",CHI,LD,23,"$1,700,000","$1,700,000","$1,700,000",2 yrs,RFA,23,RFA (Arb),2025,2027,No,Kyle Davidson,"$1,700,000",$0,$0,Std (Ext)
"Steeves, Alex",BOS,"LW, C",26,"$1,625,000","$1,700,000","$1,625,000",2 yrs,UFA (Group 6),26,UFA,2026,2028,No,Don Sweeney,"$1,700,000",$0,$0,Std (Ext)
"Dellandrea, Ty",SJS,C,25,"$1,625,000","$1,625,000","$1,625,000",2 yrs,RFA (Arb),25,UFA,2026,2028,No,Mike Grier,"$1,625,000",$0,$0,Std (Ext)
"Chisholm, Declan",WSH,"LD, RD",26,"$1,600,000","$1,600,000","$1,600,000",2 yrs,RFA (Arb),25,UFA,2025,2027,No,Brian MacLellan,"$1,600,000",$0,$0,Std (Ext)
"Bernard-Docker, Jacob",DET,"RD, LD",25,"$1,600,000","$1,600,000","$1,600,000",2 yrs,RFA (Arb),25,UFA,2026,2028,No,Steve Yzerman,"$1,600,000",$0,$0,Std (Ext)
"Kleven, Tyler",OTT,LD,24,"$1,600,000","$1,700,000","$1,600,000",2 yrs,RFA,23,RFA (Arb),2025,2027,No,Steve Staios,"$1,700,000",$0,$0,Std (Ext)
"Kastelic, Mark",BOS,"RW, C",27,"$1,566,667","$1,950,000","$1,566,667",3 yrs,RFA (Arb),25,UFA,2025,2028,No,Don Sweeney,"$1,950,000",$0,$0,Std (2-way)
"Holmberg, Pontus",TBL,"RW, LW",27,"$1,550,000","$1,550,000","$1,550,000",2 yrs,UFA (No QO),26,UFA,2025,2027,No,Julien BriseBois,"$1,550,000",$0,$0,Std
"Vaakanainen, Urho",NYR,"LD, RD",27,"$1,550,000","$1,450,000","$1,550,000",2 yrs,UFA,26,UFA,2025,2027,No,Chris Drury,"$1,450,000",$0,$0,Std (Ext)
"Lyon, Alex",BUF,G,33,"$1,500,000","$1,500,000","$1,500,000",2 yrs,UFA,32,UFA,2025,2027,No,Kevyn Adams,"$1,500,000",$0,$0,Std
"Jiricek, David",PHI,RD,22,"$1,500,000","$1,300,000","$1,500,000",2 yrs,RFA,22,RFA,2026,2028,No,Daniel Brière,"$850,000","$450,000",$0,Std (Ext)
"Boqvist, Jesper",FLA,"LW, RW, C",27,"$1,500,000","$1,500,000","$1,500,000",2 yrs,UFA,26,UFA,2025,2027,No,Bill Zito,"$1,500,000",$0,$0,Std (Ext)
"Brazeau, Justin",PIT,RW,28,"$1,500,000","$1,500,000","$1,500,000",2 yrs,UFA,27,UFA,2025,2027,No,Kyle Dubas,"$1,500,000",$0,$0,Std
"Raddysh, Taylor",NYR,"RW, LW",28,"$1,500,000","$1,500,000","$1,500,000",2 yrs,UFA,27,UFA,2025,2027,No,Chris Drury,"$1,500,000",$0,$0,Std
"Koepke, Cole",WPG,LW,28,"$1,450,000","$1,450,000","$1,450,000",2 yrs,UFA,27,UFA,2026,2028,No,Kevin Cheveldayoff,"$1,450,000",$0,$0,Std (Ext)
"Janmark, Mattias",EDM,"LW, RW, C",33,"$1,450,000","$1,150,000","$1,450,000",3 yrs,UFA,31,UFA,2024,2027,No,Jeff Jackson,"$1,150,000",$0,$0,Std
"Eyssimont, Michael",BOS,"RW, LW, C",29,"$1,450,000","$1,450,000","$1,450,000",2 yrs,UFA,28,UFA,2025,2027,No,Don Sweeney,"$1,450,000",$0,$0,Std
"Struble, Jayden",MTL,LD,24,"$1,412,500","$1,225,000","$1,412,500",2 yrs,RFA (Arb),23,RFA (Arb),2025,2027,No,Kent Hughes,"$1,225,000",$0,$0,Std (Ext)
"Cooley, Devin",CGY,G,29,"$1,350,000","$1,350,000","$1,350,000",2 yrs,UFA,28,UFA,2026,2028,No,Craig Conroy,"$1,350,000",$0,$0,Std (Ext)
"Benoit, Simon",PHI,LD,27,"$1,350,000","$1,350,000","$1,350,000",3 yrs,RFA (Arb),25,UFA,2024,2027,No,Brad Treliving,"$1,350,000",$0,$0,Std (Ext)
"Lorentz, Steven",TOR,"LW, RW, C",30,"$1,350,000","$1,350,000","$1,350,000",3 yrs,UFA,29,UFA,2025,2028,No,Brad Treliving,"$1,350,000",$0,$0,Std (Ext)
"Lundestrom, Isac",CBJ,"C, RW, LW",26,"$1,300,000","$1,300,000","$1,300,000",2 yrs,UFA (No QO),25,UFA,2025,2027,No,Don Waddell,"$1,300,000",$0,$0,Std
"Emberson, Ty",EDM,RD,26,"$1,300,000","$1,300,000","$1,300,000",2 yrs,RFA (Arb),24,UFA,2025,2027,No,Stan Bowman,"$1,300,000",$0,$0,Std (Ext)
"Klapka, Adam",CGY,RW,25,"$1,250,000","$1,250,000","$1,250,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Craig Conroy,"$1,250,000",$0,$0,Std (2-way)
"Svechkov, Fedor",NSH,C,23,"$1,250,000","$1,250,000","$1,250,000",2 yrs,RFA,22,RFA,2026,2028,No,Barry Trotz,"$1,250,000",$0,$0,Std (Ext)
"Johansson, Jonas",TBL,G,30,"$1,250,000","$1,250,000","$1,250,000",2 yrs,UFA,29,UFA,2025,2027,No,Julien BriseBois,"$1,250,000",$0,$0,Std (Ext)
"Annunen, Justus",NSH,G,26,"$1,250,000","$1,250,000","$1,250,000",2 yrs,RFA (Arb),25,UFA,2026,2028,No,Barry Trotz,"$1,250,000",$0,$0,Std (Ext)
"Parssinen, Juuso",NYR,"LW, C, RW",25,"$1,250,000","$1,300,000","$1,250,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Chris Drury,"$1,300,000",$0,$0,Std (Ext)
"Kartye, Tye",NYR,LW,25,"$1,250,000","$1,250,000","$1,250,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Jason Botterill,"$1,250,000",$0,$0,Std (Ext)
"Slukynsky, Hampton",LAK,G,20,"$1,228,767","$1,486,300","$1,378,767",3 yrs,,20,RFA,2026,2029,Yes,Ken Holland,"$922,500","$563,800",$0,ELC
"Nystrom, Joel",CAR,RD,24,"$1,225,000","$850,000","$1,225,000",4 yrs,RFA (Arb),23,UFA,2026,2030,Yes,Eric Tulsky,"$850,000",$0,$0,Std (Ext)
"Goncalves, Gage",TBL,"RW, LW, C",25,"$1,200,000","$1,300,000","$1,200,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Julien BriseBois,"$1,300,000",$0,$0,Std (Ext)
"Pachal, Brayden",CGY,"RD, LD",26,"$1,187,500","$1,187,500","$1,187,500",2 yrs,RFA (Arb),25,UFA,2025,2027,No,Craig Conroy,"$1,187,500",$0,$0,Std (Ext)
"Kulikov, Dmitry",FLA,"LD, RD",35,"$1,152,500","$1,090,000","$1,152,500",4 yrs,UFA,33,UFA,2024,2028,No,Bill Zito,"$1,090,000",$0,$0,Std
"Davies, Jeremy",VGK,LD,29,"$1,150,000","$1,150,000","$1,150,000",2 yrs,UFA,28,UFA,2025,2027,No,Kelly McCrimmon,"$1,150,000",$0,$0,Std
"MacDermid, Kurtis",OTT,"LW, RW",32,"$1,150,000","$1,000,000","$1,150,000",3 yrs,UFA,30,UFA,2024,2027,No,Tom Fitzgerald,"$1,000,000",$0,$0,Std (Ext)
"Johansson, Albert",DET,LD,25,"$1,125,000","$1,150,000","$1,125,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Steve Yzerman,"$1,150,000",$0,$0,Std (Ext)
"Soderblom, Elmer",PIT,LW,24,"$1,125,000","$1,150,000","$1,125,000",2 yrs,RFA (Arb),23,RFA (Arb),2025,2027,No,Steve Yzerman,"$1,150,000",$0,$0,Std (Ext)
"Winterton, Ryan",SEA,"RW, LW, C",22,"$1,125,000","$1,125,000","$1,125,000",2 yrs,RFA,22,RFA,2026,2028,No,Jason Botterill,"$1,125,000",$0,$0,Std (Ext)
"Helleson, Drew",ANA,RD,25,"$1,100,000","$1,100,000","$1,100,000",2 yrs,RFA (Arb),24,RFA (Arb),2025,2027,No,Pat Verbeek,"$1,100,000",$0,$0,Std (2-way)
"Heineman, Emil",NYI,"RW, LW",24,"$1,100,000","$1,100,000","$1,100,000",2 yrs,RFA,23,RFA (Arb),2025,2027,No,Mathieu Darche,"$1,100,000",$0,$0,Std (Ext)
"Silayev, Anton",NJD,LD,20,"$1,075,000","$1,025,000","$1,925,000",3 yrs,,20,RFA,2026,2029,Yes,Tom Fitzgerald,"$922,500","$102,500","$700,000",ELC
"Minnetian, Aram",DAL,RD,21,"$1,075,000","$1,025,000","$1,075,000",3 yrs,,21,RFA,2026,2029,Yes,Jim Nill,"$922,500","$102,500",$0,ELC
"Montgomery, Blake",OTT,LW,21,"$1,075,000","$1,025,000","$1,075,000",3 yrs,,20,RFA,2026,2029,Yes,Steve Staios,"$922,500","$102,500",$0,ELC
"Desnoyers, Caleb",UTA,C,19,"$1,075,000","$1,025,000","$4,225,000",3 yrs,,18,RFA,2026,2029,Yes,Bill Armstrong,"$922,500","$102,500","$3,150,000",ELC
"Stramel, Charlie",MIN,C,21,"$1,075,000","$1,025,000","$2,075,000",3 yrs,,21,RFA,2026,2029,Yes,Bill Guerin,"$922,500","$102,500","$1,000,000",ELC
"Eiserman, Cole",NYI,LW,19,"$1,075,000","$1,025,000","$1,075,000",3 yrs,,19,RFA,2026,2029,Yes,Mathieu Darche,"$922,500","$102,500",$0,ELC
"Ralph, Colin",STL,LD,20,"$1,075,000","$1,025,000","$1,575,000",3 yrs,,20,RFA,2026,2029,Yes,Doug Armstrong,"$922,500","$102,500","$250,000",ELC
"Brzustewicz, Henry",LAK,RD,19,"$1,075,000","$1,025,000","$1,158,333",3 yrs,,19,RFA,2026,2029,Yes,Ken Holland,"$922,500","$102,500",$0,ELC
"Stanley, Hoyt",OTT,RD,21,"$1,075,000","$1,025,000","$1,075,000",3 yrs,,21,RFA,2026,2029,Yes,Steve Staios,"$922,500","$102,500",$0,ELC
"Berglund, Jack",PHI,C,20,"$1,075,000","$1,025,000","$1,658,333",3 yrs,,19,RFA,2026,2029,Yes,Daniel Brière,"$922,500","$102,500",$0,ELC
"Castagna, Jonathan",CGY,C,21,"$1,075,000","$1,025,000","$1,741,667",3 yrs,,20,RFA,2026,2029,Yes,Craig Conroy,"$922,500","$102,500","$500,000",ELC
"Aitcheson, Kashawn",NYI,LD,19,"$1,075,000","$1,025,000","$1,575,000",3 yrs,,19,RFA,2026,2029,Yes,Mathieu Darche,"$922,500","$102,500","$500,000",ELC
"Hrabal, Michael",UTA,G,21,"$1,075,000","$1,025,000","$1,825,000",3 yrs,,21,RFA,2026,2029,Yes,Bill Armstrong,"$922,500","$102,500","$500,000",ELC
"Mcqueen, Roger",ANA,C,19,"$1,075,000","$1,025,000","$1,841,667",3 yrs,,19,RFA,2026,2029,Yes,Pat Verbeek,"$922,500","$102,500","$500,000",ELC
"Kantserov, Roman",CHI,RW,21,"$1,075,000","$1,075,000","$1,075,000",3 yrs,,21,RFA,2026,2029,Yes,Kyle Davidson,"$1,075,000",$0,$0,ELC
"Evers, Ryden",SEA,LW,20,"$1,075,000","$1,025,000","$1,075,000",3 yrs,,20,RFA,2026,2029,Yes,Jason Botterill,"$922,500","$102,500",$0,ELC
"Halliday, Stephen",OTT,"C, LW",23,"$1,075,000","$975,000","$1,075,000",2 yrs,RFA (Arb),23,RFA (Arb),2026,2028,Yes,Steve Staios,"$975,000",$0,$0,Std (Ext)
"Augustine, Trey",DET,G,21,"$1,075,000","$1,025,000","$1,908,333",3 yrs,,21,RFA,2026,2029,Yes,Steve Yzerman,"$922,500","$102,500","$500,000",ELC
"Zonnon, Bill",PIT,RW,19,"$1,060,000","$1,025,000","$1,310,000",3 yrs,,19,RFA,2026,2029,Yes,Kyle Dubas,"$922,500","$102,500","$100,000",ELC
"Gajan, Adam",CHI,G,22,"$1,050,000","$1,025,000","$1,550,000",2 yrs,,21,RFA,2026,2028,Yes,Kyle Davidson,"$922,500","$102,500","$500,000",ELC
"Buckberger, Boston",CBJ,D,23,"$1,050,000","$1,025,000","$1,050,000",2 yrs,,22,RFA,2026,2028,Yes,Don Waddell,"$922,500","$102,500",$0,ELC
"James, Dylan",DET,LW,22,"$1,050,000","$1,025,000","$1,050,000",2 yrs,,22,RFA,2026,2028,Yes,Steve Yzerman,"$922,500","$102,500",$0,ELC
"Pohlkamp, Eric",SJS,RD,22,"$1,050,000","$1,025,000","$1,500,000",2 yrs,,22,RFA,2026,2028,Yes,Mike Grier,"$922,500","$102,500","$450,000",ELC
"Brown, Garrett",WPG,RD,22,"$1,050,000","$1,025,000","$1,050,000",2 yrs,,22,RFA,2026,2028,Yes,Kevin Cheveldayoff,"$922,500","$102,500",$0,ELC
"Anderson, Jack",DAL,D,23,"$1,050,000","$1,025,000","$1,050,000",2 yrs,,23,RFA,2026,2028,Yes,Jim Nill,"$922,500","$102,500",$0,ELC
"Sinn, Phillip",SJS,D,22,"$1,050,000","$1,025,000","$1,050,000",2 yrs,,22,RFA,2026,2028,Yes,Mike Grier,"$922,500","$102,500",$0,ELC
"Procyszyn, Ethan",ANA,C,19,"$1,040,000","$952,500","$1,040,000",3 yrs,,19,RFA,2026,2029,Yes,Pat Verbeek,"$850,000","$102,500",$0,ELC
"Nilsson, Felix",NSH,C,20,"$1,028,333","$952,500","$1,028,333",3 yrs,,20,RFA,2026,2029,Yes,Barry Trotz,"$850,000","$102,500",$0,ELC
"Beckman, Lucas",OTT,G,18,"$1,028,333","$952,500","$1,028,333",3 yrs,,18,RFA,2026,2029,Yes,Steve Staios,"$850,000","$102,500",$0,ELC
"Strbak, Maxim",BUF,RD,21,"$1,028,333","$952,500","$1,028,333",3 yrs,,20,RFA,2026,2029,Yes,Jarmo Kekäläinen,"$850,000","$102,500",$0,ELC
"Koblar, Tinus Luc",TOR,C,18,"$1,028,333","$952,500","$1,028,333",3 yrs,,18,RFA,2026,2029,Yes,Brad Treliving,"$850,000","$102,500",$0,ELC
"Thompson, Riley",PHI,C,23,"$1,025,000","$1,025,000","$1,025,000",1 yrs,,23,RFA,2026,2027,Yes,Daniel Brière,"$922,500","$102,500",$0,ELC
"Rochette, Théo",DET,C,24,"$1,025,000","$1,025,000","$1,025,000",1 yrs,,24,RFA,2026,2027,Yes,Steve Yzerman,"$922,500","$102,500",$0,ELC
"Niederbach, Theodor",WSH,C,24,"$1,025,000","$1,025,000","$1,025,000",1 yrs,,24,RFA,2026,2027,Yes,Brian MacLellan,"$1,025,000",$0,$0,Std (2-way)
"Pinchuk, Vitali",NSH,C,24,"$1,025,000","$1,025,000","$2,025,000",1 yrs,,24,RFA,2026,2027,Yes,Barry Trotz,"$922,500","$102,500","$1,000,000",ELC
"DeSmith, Casey",DAL,G,34,"$1,016,667","$850,000","$1,016,667",3 yrs,UFA,32,UFA,2024,2027,No,Jim Nill,"$850,000",$0,$0,Std
"Stockselius, Theo",CGY,C,18,"$1,015,833","$952,500","$1,015,833",3 yrs,,18,RFA,2026,2029,Yes,Craig Conroy,"$850,000","$102,500",$0,ELC
"Koromyslov, Arseni",STL,LD,22,"$1,013,750","$952,500","$1,013,750",2 yrs,,22,RFA,2026,2028,Yes,Doug Armstrong,"$850,000","$102,500",$0,ELC
"Hryckowian, Dylan",DAL,RW,22,"$1,013,750","$952,500","$1,050,000",2 yrs,,21,RFA,2026,2028,Yes,Jim Nill,"$850,000","$102,500","$72,500",ELC
"Trudeau, Félix",STL,LW,23,"$1,013,750","$952,500","$1,013,750",2 yrs,,23,RFA,2026,2028,Yes,Doug Armstrong,"$850,000","$102,500",$0,ELC
"Richard, Jake",BUF,RW,21,"$1,013,750","$952,500","$1,013,750",2 yrs,,21,RFA,2026,2028,Yes,Jarmo Kekäläinen,"$850,000","$102,500",$0,ELC
"Mittelstadt, Luke",MTL,LD,23,"$1,013,750","$952,500","$1,013,750",2 yrs,,23,RFA,2026,2028,Yes,Kent Hughes,"$850,000","$102,500","$72,500",ELC
"Lorenz, Rieger",MIN,LW,22,"$1,013,750","$952,500","$1,013,750",2 yrs,,22,RFA,2026,2028,Yes,Bill Guerin,"$850,000","$102,500",$0,ELC
"Moroz, Vadim",UTA,RW,22,"$1,013,750","$1,013,750","$1,013,750",2 yrs,,22,RFA,2026,2028,Yes,Bill Armstrong,"$1,013,750",$0,$0,ELC
"Hundley, Hayes",TOR,D,21,"$1,010,000","$975,000","$1,010,000",3 yrs,,21,RFA,2026,2029,Yes,Brad Treliving,"$877,500","$97,500",$0,ELC
"Ciernik, Alex",PHI,LW,21,"$1,007,500","$952,500","$1,007,500",3 yrs,,21,RFA,2026,2029,Yes,Daniel Brière,"$850,000","$102,500",$0,ELC
"Rautiainen, Benjamin",TBL,C,21,"$1,007,500","$952,500","$1,007,500",3 yrs,,20,RFA,2026,2029,Yes,Julien BriseBois,"$850,000","$102,500",$0,ELC
"Eliasson, Gabriel",OTT,LD,19,"$1,007,500","$952,500","$1,007,500",3 yrs,,19,RFA,2026,2029,Yes,Steve Staios,"$850,000","$102,500",$0,ELC
"Zarubin, Kirill",CGY,G,20,"$1,007,500","$952,500","$1,007,500",3 yrs,,20,RFA,2026,2029,Yes,Craig Conroy,"$850,000","$102,500",$0,ELC
"Protz, Owen",MTL,LD,20,"$1,004,167","$952,500","$1,004,167",3 yrs,,20,RFA,2026,2029,Yes,Kent Hughes,"$850,000","$102,500","$68,000",ELC
"Bernier, Alexis",SEA,RD,19,"$1,003,333","$950,000","$1,033,333",3 yrs,,19,RFA,2026,2029,Yes,Jason Botterill,"$850,000","$100,000","$50,000",ELC
"Biber, Gregor",UTA,LD,19,"$1,002,500","$952,500","$1,002,500",3 yrs,,19,RFA,2026,2029,Yes,Bill Armstrong,"$850,000","$102,500",$0,ELC
"Meyers, Ben",SEA,"C, LW",27,"$1,000,000","$1,000,000","$1,000,000",2 yrs,UFA,27,UFA,2026,2028,No,Jason Botterill,"$1,000,000",$0,$0,Std (Ext)
"Brown, Josh",EDM,"RD, LD",32,"$1,000,000","$975,000","$1,000,000",3 yrs,UFA,30,UFA,2024,2027,No,Jeff Jackson,"$975,000",$0,$0,Std
"O'Brien, Liam",UTA,"LW, RW, C",31,"$1,000,000","$1,000,000","$1,000,000",3 yrs,UFA,29,UFA,2024,2027,No,Bill Armstrong,"$1,000,000",$0,$0,Std (Ext)
"Shuravin, Matvei",FLA,LD,20,"$1,000,000","$950,000","$1,000,000",3 yrs,,20,RFA,2026,2029,Yes,Bill Zito,"$850,000","$100,000",$0,ELC
"Sasson, Max",VAN,"C, LW",25,"$1,000,000","$1,000,000","$1,000,000",2 yrs,UFA (Group 6),25,UFA,2026,2028,No,Patrik Allvin,"$1,000,000",$0,$0,Std (Ext)
"Wotherspoon, Parker",PIT,LD,28,"$1,000,000","$1,000,000","$1,000,000",2 yrs,UFA,27,UFA,2025,2027,No,Kyle Dubas,"$1,000,000",$0,$0,Std
"Carrick, Sam",BUF,C,34,"$1,000,000","$1,000,000","$1,000,000",3 yrs,UFA,32,UFA,2024,2027,No,Chris Drury,"$1,000,000",$0,$0,Std
"Mancini, Victor",VAN,RD,24,"$1,000,000","$950,000","$1,000,000",2 yrs,RFA (Arb),23,RFA (Arb),2026,2028,Yes,Patrik Allvin,"$950,000",$0,$0,Std (Ext)
"Wetsch, Carson",SJS,RW,20,"$997,500","$947,500","$1,006,667",3 yrs,,20,RFA,2026,2029,Yes,Mike Grier,"$850,000","$97,500","$27,500",ELC
"Genborg, Eddie",DET,RW,19,"$997,500","$947,500","$1,049,167",3 yrs,,18,RFA,2026,2029,Yes,Steve Yzerman,"$850,000","$97,500","$77,500",ELC
"Felcman, Jiri",CHI,C,21,"$996,667","$950,000","$996,667",3 yrs,,20,RFA,2026,2029,Yes,Kyle Davidson,"$855,000","$95,000",$0,ELC
"D'Aigle, Gabriel",PIT,G,19,"$995,000","$944,425","$995,000",3 yrs,,19,RFA,2026,2029,Yes,Kyle Dubas,"$850,000","$94,425",$0,ELC
"Sikora, Petr",WSH,C,20,"$995,000","$995,000","$995,000",3 yrs,,20,RFA,2026,2029,Yes,Brian MacLellan,"$995,000",$0,$0,ELC
"McCarthy, Gavin",BUF,RD,21,"$990,833","$952,500","$990,833",3 yrs,,20,RFA,2026,2029,Yes,Jarmo Kekäläinen,"$850,000","$102,500",$0,ELC
